id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source
rS9JVZsAjA8iNGRlAAAAAA==,Ingénieur(E) Ia Machine Learning (H/F/X),Equans France,Courbevoie,,À plein temps,None - None,Non précisé,,"📢 Ingénieur(e) IA Machine Learning (H/F/X) Télétravail : à hauteur de 2 jours par semaine Notre mission : accompagner la transition énergétique, industrielle et numérique de nos clients, en plaçant l’exigence, la bienveillance et la sécurité au cœur de notre performance. Nos équipes connectent, alimentent et protègent les territoires, bâtiments, industries et infrastructures partout en France. Face à l’accélération de la transformation digitale, la DSI d’Equans France (120 personnes) a créé une ",2026-04-23,https://www.equans.fr/en/jobs/85310-ingenieure-ia-machine-learning-h-f-x,JSearch/Indeed
enze6f_3Km6LFSPWAAAAAA==,"Data Engineer / Machine Learning – #-  Lille, France  (H/F)",Astek,Boulogne-Billancourt,,À plein temps,None - None,Non précisé,,"Et si vous rejoigniez la communauté Astek ?

Vous jouerez un rôle clé dans la conception et la mise en œuvre de solutions data innovantes au sein du périmètre marketing client. Vos contributions permettront de :

• Développer des algorithmes et produits data intégrant des technologies d’IA et de machine learning.

• Automatiser des processus complexes pour améliorer la prise de décision stratégique.

• Mettre en place des visualisations impactantes avec Power BI ou Looker.

Votre mission (… si v",2026-04-24,https://astekjob.fr/job/data-engineer-machine-learning-lille-france-h-f/,JSearch/Indeed
VzWUB2avgwm27b8dAAAAAA==,Stage - Machine Learning Model Reviewer H/F,BNP Paribas Corporate & Institutional Banking,Pantin,,Stage,None - None,Non précisé,,"Au quotidien ça donne quoi ?
Au sein de l’équipe MTM, vous participerez au développement de solutions innovantes en Intelligence Artificielle et Machine Learning. Vous contribuerez à la création d'un framework d’outils capables d’optimiser le traitement des paiements, d'interpréter des documents et de les convertir en en règles automatisées.
Les paiements revêtent une importance croissante pour la Banque. Il devient donc indispensable de rationaliser et de sécuriser une chaîne de valeur End‑to‑E",2026-04-09,https://group.bnpparibas/emploi-carriere/offre-emploi/stage-machine-learning-model-reviewer-h-f,JSearch/Indeed
URnjmVYcreDoKifwAAAAAA==,Superviseur Business Intelligence - Data Analyst F/H (H/F),RYDGE CONSEIL,Puteaux,,À plein temps,None - None,Non précisé,,"Description du poste Rattaché à notre branche Conseil, vous ferez partie d'une équipe de consultants Data dont la vocation est d'accompagner les organisations (TPE/PME/ETI) sur des enjeux de transformation axés sur de Reporting et la Data Intelligence autour des solutions Microsoft (Power BI / Fabric). Ce challenge vous permettra de développer des compétences complémentaires (conseil et data) dans un écosystème dynamique avec des tailles d'entreprises différentes et dans tous les secteurs ! En t",2026-04-25,https://candidat.francetravail.fr/offres/recherche/detail/206SMJN,JSearch/Indeed
KBX7Ji3Dhf9UFL29AAAAAA==,Business Intelligence Bi Lead H/F,Salomon / Groupe Amer Sports,Annecy,,À plein temps,None - None,Non précisé,,"Amer Sports is a sporting goods company with internationally recognized brands including Salomon, Arc'teryx, Peak Performance, Atomic and Wilson.

The Mountain Sport Company, Salomon was born in 1947 in the heart of the French Alps and the birthplace of modern alpinism. Salomon's commitment to innovative design and passion for mountain sports created a vast range of revolutionary new concepts in bindings, boots, skis and apparel for both Alpine and Nordic skiing and brought innovative solutions ",2026-04-27,https://www.jobintree.com/emplois/78476565.html,JSearch/Indeed
lPVSweMbbK9HGSmqAAAAAA==,Responsable Des Systèmes Applicatifs - Business Intelligence (F/H),La Sécurité sociale,Lyon,,À plein temps,None - None,Non précisé,,"Avec vous, agir pour une protection sociale durable et solidaire

Travailler au sein du réseau des URSSAF, c'est faire partie d'un collectif qui s'engage où chacun met ses compétences au service de nombreux projets pour assurer une protection sociale durable et solidaire.

Depuis plus de 60 ans, le réseau des Urssaf est un acteur essentiel de la solidarité nationale. Chaque jour, nous pilotons la collecte, puis la redistribution des cotisations et contributions pour assurer le financement des pr",2026-04-28,https://tekkit.io/offre/la-securite-sociale/responsable-des-systemes-applicatifs---business-intelligence-fh,JSearch/Indeed
1bMRckfbggy1xrAuAAAAAA==,Analyste Décisionnel - Business Intelligence (H/F),AUBER TECH,Les Lilas,,À plein temps,None - None,Non précisé,,"Dans le cadre de notre croissance, nous recherchons un(e) Business Analyst confirmé(e) pour renforcer notre équipe. Lieu : Paris / Île-de-France / Télétravail hybride Type de contrat : CDI / Freelance / Mission longue Disponibilité : Immédiate ou selon préavis Contexte : Nous renforçons nos équipes avec un profil Business Analyst capable de faire le lien entre les enjeux métiers et les solutions IT. Vous interviendrez sur des projets structurants (portails clients, automatisation des processus, ",2026-04-08,https://candidat.francetravail.fr/offres/recherche/detail/206QKKK,JSearch/Indeed
ORiklIUw4-cR3Y81AAAAAA==,Business Intelligence Analyst,Openbook VC,Fresnes,,À plein temps,None - None,Non précisé,,"Business Intelligence (BI) Analyst – Role Description & Qualifications
A Business Intelligence (BI) Analyst supports data-driven decision-making by transforming raw data into clear, actionable insights. The role focuses on analyzing business performance, identifying trends, and delivering reports and visualizations that help organizations improve efficiency and achieve strategic objectives.
Key responsibilities include collecting, cleaning, and consolidating data from multiple sources to ensure ",2026-04-26,https://fr.trabajo.org/offre-4112-814138a9a33f76fd2e3b1e7f481e4069,JSearch/Indeed
wvLH0zC59AR6oYzTAAAAAA==,Responsable D’Applications Si – Dataplatform & Business Intelligence (F/H),SOCULTUR,,,À plein temps,None - None,Non précisé,,"Dans le cadre de la transformation de son système d’information, la Direction des Systèmes d’Information renforce ses équipes. Au cœur de la DSI, vous intervenez comme référent applicatif à dimension technico-fonctionnelle sur un périmètre confié par le responsable de domaine SI Dataplatform & BI. Vous êtes garant du bon fonctionnement, des évolutions et de la qualité de service aussi bien en BUILD qu’en RUN. Vous combinez analyse fonctionnelle, conception technico-fonctionnelle et compréhension",2026-04-26,https://cultura.wd3.myworkdayjobs.com/fr-FR/Cultura/job/Responsable-d-applications-SI---Dataplatform---Business-Intelligence--f-h-_JR105393-1,JSearch/Indeed
hp392Wdni6q_KdpGAAAAAA==,Alternance - Chargé De Communication Et Business Intelligence H/F,BNP Paribas,Paris,,,None - None,Non précisé,,"Alternance - Chargé de communication et Business Intelligence H/F
Ce poste est basé à Paris et à pourvoir pour une durée de 12 à 24 mois dès septembre 2026.
AU QUOTIDIEN, ÇA DONNE QUOI ?
En charge du contrôle périodique de BNPPARIBAS, la Fonction Inspection Générale conduit de façon indépendante, pour le compte de la Direction Générale, des missions d'audit en France et à l'étranger sur l'ensemble des activités du Groupe. Elle comprend des plateformes en charge du périmètre géographique ou d'un ",2026-04-08,https://group.bnpparibas/emploi-carriere/offre-emploi/alternance-charge-de-communication-et-business-intelligence-h-f,JSearch/Indeed
